MONTH,DAY_OF_MONTH,FL_DATE,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,DEP_DELAY,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,2,1/2/20,"Charlotte, NC",NC,North Carolina,"Jacksonville/Camp Lejeune, NC",NC,North Carolina,15,15,0,,2,0,18,0,13
1,10,1/10/20,"Pittsburgh, PA",PA,Pennsylvania,"New York, NY",NY,New York,68,68,0,,2,0,0,0,56
1,8,1/8/20,"Buffalo, NY",NY,New York,"Washington, DC",VA,Virginia,22,22,0,,2,0,4,0,20
1,27,1/27/20,"Buffalo, NY",NY,New York,"Washington, DC",VA,Virginia,32,32,0,,2,0,0,0,30
1,31,1/31/20,"Buffalo, NY",NY,New York,"Washington, DC",VA,Virginia,32,32,0,,2,0,0,0,16
1,9,1/9/20,"Charlotte, NC",NC,North Carolina,"Gainesville, FL",FL,Florida,2,2,0,,2,0,18,0,0
1,3,1/3/20,"Medford, OR",OR,Oregon,"Seattle, WA",WA,Washington,39,39,0,,2,0,2,0,37
1,4,1/4/20,"Seattle, WA",WA,Washington,"Pasco/Kennewick/Richland, WA",WA,Washington,51,51,0,,2,0,0,0,37
1,4,1/4/20,"Bellingham, WA",WA,Washington,"Seattle, WA",WA,Washington,55,55,0,,2,0,1,0,53
1,10,1/10/20,"Seattle, WA",WA,Washington,"Pullman, WA",WA,Washington,74,74,0,,2,0,2,0,72
1,10,1/10/20,"Seattle, WA",WA,Washington,"Eugene, OR",OR,Oregon,47,47,0,,2,0,2,0,45
1,10,1/10/20,"Everett, WA",WA,Washington,"Portland, OR",OR,Oregon,55,55,0,,2,0,1,0,53
1,13,1/13/20,"Boise, ID",ID,Idaho,"Seattle, WA",WA,Washington,7,7,0,,2,0,19,0,5
1,17,1/17/20,"San Diego, CA",CA,California,"Everett, WA",WA,Washington,125,125,0,,2,0,1,0,123
1,17,1/17/20,"Everett, WA",WA,Washington,"Las Vegas, NV",NV,Nevada,36,36,0,,2,0,1,0,34
1,24,1/24/20,"Seattle, WA",WA,Washington,"Eugene, OR",OR,Oregon,83,83,0,,2,0,0,0,76
1,27,1/27/20,"Spokane, WA",WA,Washington,"Portland, OR",OR,Oregon,32,32,0,,2,0,0,0,27
1,30,1/30/20,"Seattle, WA",WA,Washington,"Billings, MT",MT,Montana,56,56,0,,2,0,13,0,54
1,31,1/31/20,"Seattle, WA",WA,Washington,"Bend/Redmond, OR",OR,Oregon,65,65,0,,2,0,0,0,57
1,16,1/16/20,"Jacksonville, FL",FL,Florida,"Dallas/Fort Worth, TX",TX,Texas,98,98,0,,2,0,0,0,81
1,3,1/3/20,"Dallas/Fort Worth, TX",TX,Texas,"New York, NY",NY,New York,40,40,0,,2,0,0,0,14
1,10,1/10/20,"Charlotte, NC",NC,North Carolina,"Dallas/Fort Worth, TX",TX,Texas,2,2,0,,2,0,14,0,0
1,27,1/27/20,"Orlando, FL",FL,Florida,"Phoenix, AZ",AZ,Arizona,2,2,0,,2,0,19,0,0
1,27,1/27/20,"Charlotte, NC",NC,North Carolina,"Miami, FL",FL,Florida,4,4,0,,2,0,20,0,2
1,4,1/4/20,"Dallas/Fort Worth, TX",TX,Texas,"Kahului, HI",HI,Hawaii,92,92,0,,2,0,0,0,44
1,1,1/1/20,"San Antonio, TX",TX,Texas,"Denver, CO",CO,Colorado,34,34,0,,3,0,0,0,16
